Supplementary Table 7. Genes in DEPICT-defined loci,,,,,,,,,
Locus,Number of genes in locus,Chromosome and position,GWAS P-value,Ensembl gene ID,Gene symbol,Nominal P-value,Gene closest to lead SNP,FDR,
rs148526428;rs145480052,17,chr12:110288959-111180744,4.87E-07,ENSG00000196510,ANAPC7,0.02,FALSE,<0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000114767,RRP9,0.02,FALSE,<0.20,
rs498887,1,chr1:100810584-100985833,1.22E-06,ENSG00000079335,CDC14A,0.02,TRUE,<0.20,
rs113357284,2,chr20:37377085-37551667,8.17E-06,ENSG00000101445,PPP1R16B,0.02,FALSE,<0.20,
rs79934567;rs1402522;rs9969534,1,chr8:9911778-10286401,9.79E-07,ENSG00000175806,MSRA,0.02,TRUE,<0.20,
rs743316;rs61739710;rs2834287,8,chr21:34757299-35272165,8.21E-11,ENSG00000159131,GART,0.02,TRUE,<0.20,
rs12981405,6,chr19:19375174-19657468,2.75E-09,ENSG00000105705,SUGP1,0.02,FALSE,<0.20,
rs9926649;rs8061964;rs3785092,17,chr16:66460816-66978999,1.58E-08,ENSG00000159593,NAE1,0.02,FALSE,<0.20,
rs10022637,1,chr4:72053003-72437804,2.40E-06,ENSG00000080493,SLC4A4,0.02,TRUE,<0.20,
rs3751331;rs138569349;rs1148547,20,chr12:57984957-58351052,1.75E-11,ENSG00000135454,B4GALNT1,0.02,FALSE,<0.20,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000149541,B3GAT3,0.02,FALSE,<0.20,
rs35557990,1,chr2:10710892-10830101,1.42E-06,ENSG00000115761,NOL10,0.02,FALSE,<0.20,
rs4741527,1,chr9:15552895-16061661,9.24E-06,ENSG00000164989,C9orf93,0.02,TRUE,<0.20,
rs79523955,6,chr1:28696114-28969597,3.79E-09,ENSG00000180198,RCC1,0.02,TRUE,<0.20,
rs151257075;rs16837272,17,chr1:156182773-156647189,7.96E-06,ENSG00000163468,CCT3,0.02,FALSE,<0.20,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000168569,TMEM223,0.02,FALSE,<0.20,
rs7502541;rs9902820;rs62082093,14,chr17:56422539-57353322,3.90E-07,ENSG00000213246,SUPT4H1,0.02,TRUE,<0.20,
rs11030102;rs11030084,5,chr11:27387508-27899195,4.60E-10,ENSG00000255496,-,0.02,FALSE,<0.20,
rs78393250,14,chr11:47376411-48192393,1.79E-06,ENSG00000165916,PSMC3,0.02,FALSE,<0.20,
rs1865955;rs10886012;rs66688522;rs1637565,2,chr10:118430703-118886097,4.06E-11,ENSG00000187164,KIAA1598,0.02,TRUE,<0.20,
rs3853254,1,chr8:19674651-19709594,3.08E-07,ENSG00000104613,INTS10,0.02,TRUE,<0.20,
rs6736025;rs12618801;rs2708147;rs1106090;rs3948495;rs60589532;rs115702033;rs17049820;rs60727365;rs965979;rs2192692;rs2953444;rs72802200,3,chr2:58134786-59290901,1.00E-10,ENSG00000233723,-,0.02,TRUE,<0.20,
rs17848939,3,chr17:80036215-80197369,1.52E-07,ENSG00000169710,FASN,0.02,TRUE,<0.20,
rs29792;rs4867577,2,chr5:169010638-169510386,1.06E-09,ENSG00000040275,CCDC99,0.02,TRUE,<0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000164050,PLXNB1,0.02,FALSE,<0.20,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000185085,INTS5,0.02,FALSE,<0.20,
rs1064193,5,chr11:118964564-119033360,3.39E-07,ENSG00000172273,HINFP,0.02,FALSE,<0.20,
rs16958559;rs9303395,1,chr17:55333212-55757658,2.07E-08,ENSG00000153944,MSI2,0.02,FALSE,<0.20,
rs206127,1,chr13:32889611-32973805,2.76E-06,ENSG00000139618,BRCA2,0.02,TRUE,<0.20,
rs58779949;rs11231643,24,chr11:63606400-64139687,3.84E-09,ENSG00000162302,RPS6KA4,0.02,FALSE,<0.20,
rs10800423,6,chr1:169074935-169455241,5.11E-06,ENSG00000143156,NME7,0.02,TRUE,<0.20,
rs2706762;rs3796097,7,chr2:70187226-70508323,6.67E-07,ENSG00000179818,PCBP1-AS1,0.02,FALSE,<0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000132600,PRMT7,0.02,FALSE,<0.20,
rs2680758;rs10461357,6,chr4:57036361-57390058,2.20E-07,ENSG00000128059,PPAT,0.02,TRUE,<0.20,
rs9655780;rs2470966;rs4730020;rs17706792;rs16869996;rs6961668,6,chr7:103969104-105039755,3.70E-16,ENSG00000226869,-,0.02,TRUE,<0.20,
rs114352120,7,chr5:64813593-65167553,2.80E-07,ENSG00000113593,PPWD1,0.02,FALSE,<0.20,
rs12790196;rs2508441,9,chr11:57364860-57587018,3.29E-11,ENSG00000198561,CTNND1,0.02,FALSE,<0.20,
rs4724083;rs7796103,2,chr7:41733514-42277469,3.53E-08,ENSG00000106571,GLI3,0.02,FALSE,<0.20,
rs13145650;rs75246386,6,chr4:122680088-122872909,8.99E-12,ENSG00000123737,EXOSC9,0.02,TRUE,<0.20,
rs115019703,1,chr12:53399942-53435993,2.43E-06,ENSG00000063046,EIF4B,0.02,TRUE,<0.20,
rs1815532;rs8013401;rs12590545;rs61989562,7,chr14:66953072-67878917,8.01E-08,ENSG00000134001,EIF2S1,0.02,FALSE,<0.20,
rs3751331;rs138569349;rs1148547,20,chr12:57984957-58351052,1.75E-11,ENSG00000123297,TSFM,0.02,FALSE,<0.20,
rs7211055;rs12940055;rs72848751,16,chr17:61600695-62050278,5.82E-07,ENSG00000087191,PSMC5,0.03,FALSE,<0.20,
rs10145520;rs7148741;rs11623188,6,chr14:21819631-21979517,4.78E-12,ENSG00000165819,METTL3,0.03,FALSE,<0.20,
rs6121037,11,chr20:34042985-34547394,1.32E-07,ENSG00000125995,ROMO1,0.03,FALSE,<0.20,
rs11598765;rs220370,1,chr10:23983675-24836772,1.73E-09,ENSG00000120549,KIAA1217,0.03,TRUE,<0.20,
rs115362477,1,chr3:107602095-107647754,1.46E-06,ENSG00000240423,-,0.03,TRUE,<0.20,
rs11971332;rs10951590;rs13246220;rs113205706;rs10268735;rs35787907;rs78118326;rs886765,8,chr7:39017598-40900362,3.62E-13,ENSG00000168303,C7orf11,0.03,FALSE,<0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000140939,NOL3,0.03,FALSE,<0.20,
rs12170452;rs5757734,1,chr22:39966758-40085742,7.78E-14,ENSG00000100346,CACNA1I,0.03,TRUE,<0.20,
rs2011603;rs114192810;rs16898037;rs6836877;rs1947361,5,chr4:17578815-18023499,1.12E-08,ENSG00000118579,MED28,0.03,FALSE,<0.20,
rs4873387;rs4873292,5,chr8:48173167-48976511,1.06E-06,ENSG00000164808,KIAA0146,0.03,TRUE,<0.20,
rs72737127,5,chr9:34457412-34620515,2.58E-06,ENSG00000122735,DNAI1,0.03,FALSE,<0.20,
rs2885198,1,chr3:143690640-143767561,4.63E-10,ENSG00000181744,C3orf58,0.03,TRUE,<0.20,
rs28862724,3,chr7:5470966-5603415,2.90E-06,ENSG00000155034,FBXL18,0.03,TRUE,<0.20,
rs35550545;rs188415602;rs12718416;rs192569608;rs144581493,33,chr1:149900543-151098018,1.04E-07,ENSG00000117360,PRPF3,0.03,FALSE,<0.20,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000173465,SSSCA1,0.03,TRUE,<0.20,
rs61748951,28,chr1:155158300-156182587,1.31E-08,ENSG00000160767,FAM189B,0.03,FALSE,<0.20,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000110711,AIP,0.03,FALSE,<0.20,
rs4754816,1,chr11:101785746-101871789,1.88E-06,ENSG00000110318,KIAA1377,0.03,TRUE,<0.20,
rs56139009;rs7916697,9,chr10:69865912-70454239,2.21E-06,ENSG00000138346,DNA2,0.03,FALSE,<0.20,
rs6573559;rs6573552,11,chr14:64319683-65056098,3.11E-12,ENSG00000100714,MTHFD1,0.03,FALSE,<0.20,
rs303752,4,chr18:20777719-21166451,1.47E-14,ENSG00000101782,RIOK3,0.03,FALSE,<0.20,
rs7356536;rs116410675,1,chr5:86687311-86708836,2.95E-10,ENSG00000134480,CCNH,0.03,TRUE,<0.20,
rs10480450,1,chr7:108194987-108210194,2.05E-08,ENSG00000177683,THAP5,0.03,TRUE,<0.20,
rs111852224;rs148434125;rs144636085,1,chr18:25530930-25757410,4.85E-13,ENSG00000170558,CDH2,0.03,TRUE,<0.20,
rs11147249,3,chr12:133694740-133783698,6.20E-07,ENSG00000214029,ZNF891,0.03,FALSE,<0.20,
rs74615093;rs77295380,12,chr16:68877509-69419859,3.67E-08,ENSG00000141076,CIRH1A,0.03,FALSE,<0.20,
rs660001;rs2974535;rs111327916;rs3104222;rs73260443;rs6860867,2,chr5:113696666-113915667,1.66E-21,ENSG00000251542,-,0.03,TRUE,<0.20,
rs4984682,16,chr16:616995-818865,1.82E-16,ENSG00000007541,PIGQ,0.03,FALSE,<0.20,
rs12464368,13,chr2:27505260-27746554,8.64E-07,ENSG00000115226,FNDC4,0.03,FALSE,<0.20,
rs148526428;rs145480052,17,chr12:110288959-111180744,4.87E-07,ENSG00000204856,C12orf24,0.03,FALSE,<0.20,
rs4846724;rs10495182;rs11579490,1,chr1:221874766-221915518,2.89E-12,ENSG00000143507,DUSP10,0.03,TRUE,<0.20,
rs7502541;rs9902820;rs62082093,14,chr17:56422539-57353322,3.90E-07,ENSG00000108387,42982,0.03,FALSE,<0.20,
rs7972246;rs71452042;rs73091149,6,chr12:27091316-27576241,1.01E-13,ENSG00000152944,MED21,0.03,TRUE,<0.20,
rs55877339,1,chr5:36248536-36302216,1.89E-06,ENSG00000164188,RANBP3L,0.03,TRUE,<0.20,
rs11592299;rs3781339;rs12774577;rs10748841;rs76957677;rs2986016;rs1538205;rs146952142;rs138873813;rs3740409,22,chr10:104221149-105615301,8.69E-13,ENSG00000148843,PDCD11,0.03,TRUE,<0.20,
rs10496091;rs116386746;rs28551472;rs56949301;rs145281763;rs11693744,9,chr2:60983365-61765761,3.71E-17,ENSG00000115421,PAPOLG,0.03,TRUE,<0.20,
rs2011603;rs114192810;rs16898037;rs6836877;rs1947361,5,chr4:17578815-18023499,1.12E-08,ENSG00000109805,NCAPG,0.03,FALSE,<0.20,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000100410,PHF5A,0.03,TRUE,<0.20,
rs74415461;rs118124826;rs35754755;rs4785577;rs9673820;rs9932312;rs12917772;rs8047204,26,chr16:89154783-90142338,6.25E-12,ENSG00000185324,CDK10,0.03,FALSE,<0.20,
rs7502541;rs9902820;rs62082093,14,chr17:56422539-57353322,3.90E-07,ENSG00000108384,RAD51C,0.03,FALSE,<0.20,
rs11678980;rs6760887;rs114952970;rs62194170;rs147303474;rs62188141;rs79997166;rs730289;rs16845572;rs116270371;rs150032378,5,chr2:161993419-162282381,1.60E-31,ENSG00000115233,PSMD14,0.03,FALSE,<0.20,
rs2052285;rs7195329,1,chr16:51169886-51185181,7.25E-15,ENSG00000103449,SALL1,0.03,TRUE,<0.20,
rs6731373,2,chr2:68358370-68488362,1.39E-14,ENSG00000115946,PNO1,0.03,FALSE,<0.20,
rs164938;rs1719571;rs115923660,6,chr3:10289707-10749716,1.05E-09,ENSG00000231177,GHRLOS2,0.03,TRUE,<0.20,
rs2977833,3,chr8:145635126-145669827,5.14E-07,ENSG00000160949,TONSL,0.03,FALSE,<0.20,
rs1054442;rs80257979;rs11168951;rs11168828,15,chr12:49297286-49692465,1.10E-20,ENSG00000181929,PRKAG1,0.03,TRUE,<0.20,
rs7625428,2,chr3:56591189-56717265,1.07E-11,ENSG00000180376,CCDC66,0.03,TRUE,<0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000164045,CDC25A,0.03,TRUE,<0.20,
rs9388490;rs9375477,2,chr6:126661320-127004986,1.15E-10,ENSG00000203760,CENPW,0.03,TRUE,<0.20,
rs62252819,2,chr3:53258723-53381637,1.20E-08,ENSG00000163931,TKT,0.03,FALSE,<0.20,
rs61078946,4,chr16:75507022-75611779,3.21E-07,ENSG00000135702,CHST5,0.03,FALSE,<0.20,
rs6752813;rs13024876;rs4521014;rs305191,1,chr2:36583069-36778278,1.33E-07,ENSG00000150938,CRIM1,0.03,TRUE,<0.20,
rs10979613;rs10816784,6,chr9:111629797-112083244,1.25E-15,ENSG00000095203,EPB41L4B,0.03,FALSE,<0.20,
rs4877285;rs12376674,1,chr9:80912043-80945009,6.77E-07,ENSG00000135069,PSAT1,0.03,TRUE,<0.20,
rs62252819,2,chr3:53258723-53381637,1.20E-08,ENSG00000162290,DCP1A,0.03,TRUE,<0.20,
rs10439212;rs17016238,1,chr2:128994290-129076151,2.80E-06,ENSG00000136720,HS6ST1,0.03,TRUE,<0.20,
rs3807338,1,chr7:135365985-135412952,6.56E-08,ENSG00000164707,SLC13A4,0.03,TRUE,<0.20,
rs80065677,1,chr1:177362423-177566844,4.48E-06,ENSG00000227579,-,0.03,TRUE,<0.20,
rs10271395;rs74679388,4,chr7:115575202-116148595,1.19E-06,ENSG00000135269,TES,0.03,FALSE,<0.20,
rs1557451,1,chr11:115624966-115631345,3.91E-06,ENSG00000246100,-,0.03,TRUE,<0.20,
rs150831392,6,chr11:73357223-73681411,4.38E-06,ENSG00000021300,PLEKHB1,0.03,FALSE,<0.20,
rs12409811;rs61804837,10,chr1:153777201-154243986,1.10E-07,ENSG00000198837,DENND4B,0.03,FALSE,<0.20,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000248746,ACTN3,0.03,FALSE,<0.20,
rs74615093;rs77295380,12,chr16:68877509-69419859,3.67E-08,ENSG00000103047,TMCO7,0.03,FALSE,<0.20,
rs7299842;rs11043298;rs10773208;rs12810587;rs78440611;rs11058322;rs10773002;rs34436758;rs10773515;rs12811983;rs112365238;rs61955089;rs146898200,26,chr12:122457328-124083116,2.50E-30,ENSG00000051825,MPHOSPH9,0.04,FALSE,<0.20,
rs11657342,1,chr17:79373540-79433357,2.32E-13,ENSG00000171282,BAHCC1,0.04,TRUE,<0.20,
rs2039204,8,chr9:130267618-130541020,5.23E-09,ENSG00000095370,SH2D3C,0.04,FALSE,<0.20,
rs13048700,1,chr21:33245628-33416946,1.31E-06,ENSG00000142149,HUNK,0.04,TRUE,<0.20,
rs2545795,4,chr5:176830205-176901402,1.03E-18,ENSG00000198055,GRK6,0.04,FALSE,<0.20,
rs58779949;rs11231643,24,chr11:63606400-64139687,3.84E-09,ENSG00000173113,TRMT112,0.04,FALSE,<0.20,
rs11542663;rs36193424;rs150737063,3,chr6:119134618-119470552,2.44E-13,ENSG00000111875,ASF1A,0.04,TRUE,<0.20,
rs2910823;rs27220;rs72755130;rs981230;rs79798166;rs4283754;rs13361043;rs4647102;rs10223052;rs77505016;rs79009682;rs6449503;rs79855925;rs9291710;rs112282911;rs293021;rs74913791;rs72757182;rs76981775;rs62370504;rs153384;rs138236239;rs16890369;rs141883478;rs11958102;rs7719721;rs115583034,12,chr5:57878048-61047590,1.84E-39,ENSG00000113448,PDE4D,0.04,TRUE,<0.20,
rs1738050,5,chr1:44584522-44820932,1.42E-10,ENSG00000178028,DMAP1,0.04,TRUE,<0.20,
rs10074050,3,chr5:56111401-56267502,7.54E-07,ENSG00000095015,MAP3K1,0.04,TRUE,<0.20,
rs12076635;rs112361411;rs2428954;rs45605334;rs145155829;rs1198982;rs61768375;rs1362153;rs1999595;rs150833155,25,chr1:43629846-44497139,3.33E-34,ENSG00000142949,PTPRF,0.04,TRUE,<0.20,
rs2179508,4,chr6:145822719-146758734,7.95E-07,ENSG00000112425,EPM2A,0.04,FALSE,<0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000188315,C3orf62,0.04,FALSE,<0.20,
rs62109862;rs3786712;rs56160517,14,chr19:12873817-13068050,2.85E-11,ENSG00000179271,GADD45GIP1,0.04,FALSE,<0.20,
rs8040116,6,chr15:49280673-50149346,9.45E-06,ENSG00000166200,COPS2,0.04,FALSE,<0.20,
rs173003,11,chr19:36139125-36279724,5.50E-09,ENSG00000161265,U2AF1L4,0.04,FALSE,<0.20,
rs4366937,1,chr2:946554-1371385,9.02E-07,ENSG00000172554,SNTG2,0.04,TRUE,<0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000185909,KLHDC8B,0.04,FALSE,<0.20,
rs56016194,6,chr2:210636717-211179914,1.93E-06,ENSG00000144445,C2orf67,0.04,FALSE,<0.20,
rs62109862;rs3786712;rs56160517,14,chr19:12873817-13068050,2.85E-11,ENSG00000179115,FARSA,0.04,FALSE,<0.20,
rs12957463;rs978807;rs2852349;rs72902523;rs139980871;rs977143;rs2276209;rs976090;rs1009020;rs16971135;rs138067070,1,chr18:36786888-37380282,9.20E-17,ENSG00000249862,-,0.04,TRUE,<0.20,
rs58779949;rs11231643,24,chr11:63606400-64139687,3.84E-09,ENSG00000173486,FKBP2,0.04,TRUE,<0.20,
rs2929860,3,chr3:128598439-128759585,1.33E-09,ENSG00000177646,ACAD9,0.04,FALSE,<0.20,
rs4358081,6,chr2:28931819-29275096,1.28E-11,ENSG00000163811,WDR43,0.04,FALSE,<0.20,
rs111821073;rs4743729,4,chr9:99082988-99382112,1.58E-10,ENSG00000165244,ZNF367,0.04,FALSE,<0.20,
rs2625566,2,chr17:65373924-65740318,1.42E-06,ENSG00000130935,NOL11,0.04,TRUE,<0.20,
rs1044595,3,chr1:180913178-181031074,1.31E-06,ENSG00000135823,STX6,0.04,FALSE,<0.20,
rs11030102;rs11030084,5,chr11:27387508-27899195,4.60E-10,ENSG00000205213,LGR4,0.04,FALSE,<0.20,
rs4919624;rs73344830;rs118079769;rs11190955;rs11596387;rs61874089;rs11191206;rs117104675;rs3781292;rs118059379;rs75709864,21,chr10:103113820-104192418,1.00E-32,ENSG00000107833,NPM3,0.04,FALSE,<0.20,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000178149,DALRD3,0.04,FALSE,<0.20,
rs6091570;rs2252098;rs2689372;rs78907351;rs6021953,2,chr20:50668202-52107617,3.20E-08,ENSG00000182463,TSHZ2,0.04,TRUE,<0.20,
rs3103307;rs11537608;rs62070648,12,chr17:28575223-29708905,2.04E-07,ENSG00000176208,ATAD5,0.04,FALSE,<0.20,
rs6065784;rs734784,3,chr20:43595115-43743813,5.78E-13,ENSG00000101109,STK4,0.04,FALSE,<0.20,
rs4705079,1,chr5:149109861-149234585,7.51E-06,ENSG00000155846,PPARGC1B,0.04,TRUE,<0.20,
rs36019562,1,chr16:52586008-52640847,4.34E-06,ENSG00000249231,-,0.04,TRUE,<0.20,
rs11786879,2,chr8:41510739-41909508,1.31E-07,ENSG00000029534,ANK1,0.04,TRUE,<0.20,
rs4664605,3,chr2:153191751-153617688,7.44E-08,ENSG00000177917,ARL6IP6,0.04,TRUE,<0.20,
rs1439870,1,chr12:8834196-8935691,2.89E-06,ENSG00000166532,RIMKLB,0.04,TRUE,<0.20,
rs1952183;rs4904523;rs76459454;rs759363,2,chr14:89591215-90085493,2.76E-10,ENSG00000053254,FOXN3,0.04,FALSE,<0.20,
rs4881269,1,chr10:3818188-3827473,3.97E-12,ENSG00000067082,KLF6,0.04,TRUE,<0.20,
rs12076635;rs112361411;rs2428954;rs45605334;rs145155829;rs1198982;rs61768375;rs1362153;rs1999595;rs150833155,25,chr1:43629846-44497139,3.33E-34,ENSG00000117395,EBNA1BP2,0.04,FALSE,<0.20,
rs854796;rs113269212,17,chr17:17750139-18639432,4.66E-09,ENSG00000177302,TOP3A,0.04,FALSE,<0.20,
rs74415461;rs118124826;rs35754755;rs4785577;rs9673820;rs9932312;rs12917772;rs8047204,26,chr16:89154783-90142338,6.25E-12,ENSG00000223959,AFG3L1P,0.04,FALSE,<0.20,
rs4919624;rs73344830;rs118079769;rs11190955;rs11596387;rs61874089;rs11191206;rs117104675;rs3781292;rs118059379;rs75709864,21,chr10:103113820-104192418,1.00E-32,ENSG00000107872,FBXL15,0.04,FALSE,<0.20,
rs11592299;rs3781339;rs12774577;rs10748841;rs76957677;rs2986016;rs1538205;rs146952142;rs138873813;rs3740409,22,chr10:104221149-105615301,8.69E-13,ENSG00000148835,TAF5,0.04,FALSE,<0.20,
rs7257285;rs7255223;rs10410583,3,chr19:32836514-32976795,9.92E-12,ENSG00000168813,ZNF507,0.04,TRUE,<0.20,
rs4949448,2,chr1:32083287-32110497,6.58E-07,ENSG00000162517,PEF1,0.04,FALSE,<0.20,
rs11736863;rs13120568;rs112181493,2,chr4:23724885-23905712,2.56E-15,ENSG00000251292,-,0.04,TRUE,<0.20,
rs3790609,6,chr1:113009163-113258099,8.35E-09,ENSG00000155363,MOV10,0.04,FALSE,<0.20,
rs56016194,6,chr2:210636717-211179914,1.93E-06,ENSG00000197713,RPE,0.04,FALSE,<0.20,
rs7495033,9,chr15:75041184-75249805,5.92E-10,ENSG00000178802,MPI,0.04,FALSE,<0.20,
rs164938;rs1719571;rs115923660,6,chr3:10289707-10749716,1.05E-09,ENSG00000157020,SEC13,0.04,TRUE,<0.20,
rs2336721;rs6802671;rs77321042,20,chr3:52350335-53226733,1.05E-10,ENSG00000168273,C3orf78,0.04,FALSE,<0.20,
rs1980526,1,chr20:59654196-59655235,1.16E-06,ENSG00000229606,-,0.04,TRUE,<0.20,
rs1054442;rs80257979;rs11168951;rs11168828,15,chr12:49297286-49692465,1.10E-20,ENSG00000257960,-,0.04,TRUE,<0.20,
rs341504;rs9527905;rs4098341;rs9597907;rs9317059;rs9527967;rs831217,2,chr13:60239717-60738119,2.22E-11,ENSG00000139734,DIAPH3,0.04,TRUE,<0.20,
rs139730315,1,chr22:39130730-39190148,7.41E-06,ENSG00000100242,SUN2,0.04,TRUE,<0.20,
rs4839155;rs1538389;rs2076586;rs197420,5,chr1:112084840-112531777,4.66E-12,ENSG00000116473,RAP1A,0.04,FALSE,<0.20,
rs2182398,3,chr10:91342745-91600618,8.46E-06,ENSG00000138182,KIF20B,0.04,FALSE,<0.20,
rs2787390,3,chr9:102741461-103115221,1.63E-06,ENSG00000136891,TEX10,0.04,TRUE,<0.20,
rs148526428;rs145480052,17,chr12:110288959-111180744,4.87E-07,ENSG00000111231,GPN3,0.04,FALSE,<0.20,
